82224:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 59 @ sec=1.495642900, dt=0.008331
82225:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 60 @ sec=1.503976107, dt=0.008333
82226:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 61 @ sec=1.512321234, dt=0.008345
82227:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 62 @ sec=1.520655632, dt=0.008334
82239:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 63 @ sec=1.528985023, dt=0.008329
82240:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 64 @ sec=1.537325621, dt=0.008341
82241:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 65 @ sec=1.545651913, dt=0.008326
82242:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 66 @ sec=1.553979874, dt=0.008328
82243:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 67 @ sec=1.562311411, dt=0.008332
82252:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 68 @ sec=1.570655346, dt=0.008344
82253:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 69 @ sec=1.578985691, dt=0.008330
82254:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 70 @ sec=1.587315321, dt=0.008330
82255:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 71 @ sec=1.595645428, dt=0.008330
82256:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 72 @ sec=1.603977680, dt=0.008332
82257:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 73 @ sec=1.612298489, dt=0.008321
82263:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 74 @ sec=1.620624781, dt=0.008326
