i,time (ns)
908,79055
909,81055
910,75776
911,83425
912,74148
913,77833
914,78573
915,76722
916,77128
917,73906
918,82091
919,74240
920,83165
921,74647
922,78387
923,77851
924,73628
925,82165
926,80110
927,79758
928,74388
929,83888
930,16377481
931,79258
932,82573
933,80017
934,84240
935,79369
936,80777
937,75851
938,79184
939,81648
940,78777
941,81054
942,116017
943,81999
944,83462
945,73925
946,84221
947,73980
948,83887
949,73795
950,78869
951,78129
952,73777
953,84147
954,74240
955,16451313
956,75795
957,84073
958,78499
959,79129
960,80962
961,76185
962,83443
963,75925
964,83518
965,78703
966,75258
967,83555
968,74999
969,80573
970,80999
971,80814
972,120925
973,73388
974,84481
975,74110
976,79573
977,77999
978,78332
979,77869
980,16177966
981,83147
982,78850
983,78703
984,78870
985,77944
986,75221
987,78573
988,82148
989,78573
990,86665
991,75203
992,79703
993,81388
994,75685
995,85425
996,75740
997,87517
998,75999
999,80036
1000,80222
